CATEGORIA,NOMBRE,DESCRIPCION,DIRECCION,REFERENCIA,TELEFONO,HORARIO,TARIFA,PUNTOS_POR_MIL
Productos Agrícolas,Finca Don Tulio - Camarón Río,Camarón de río fresco de temporada,Vereda Río,,3189012382,Temporada verano,Kilo: $25.000,12
Productos Agrícolas,Finca El Naranjal 2 - Naranja Navel,Naranja navel y tangelo para exportar,Vereda El Naranjal,,3189012383,Junio a Agosto,Caja 20kg: $25.000,12
Productos Agrícolas,Finca La Roca - Trucha,Trucha arco iris de estanque propio,Vereda La Roca,,3189012384,Viernes y Sábado 6am-12pm,Kilo: $18.000,12
Productos Agrícolas,Finca El Porvenir 2 - Tilapia,Tilapia fresca y bocachico de piscicultura,Vereda El Porvenir,,3189012385,Sábado y Domingo 6am-12pm,Kilo: $12.000,12
Productos Agrícolas,Finca Don Gonzalo - Gallinas,Gallinas ponedoras y pollos de engorde,Vereda Don Gonzalo,,3189012386,Lunes a Sábado 7am-5pm,Pollo entero: $22.000,12
Productos Agrícolas,Finca La Tranquilidad - Conejos,Conejos vivos y en canal para consumo,Vereda La Tranquilidad,,3189012387,Martes y Sábado 7am-12pm,Kilo canal: $18.000,12
Productos Agrícolas,Finca El Paraíso 3 - Cerdos,Carne de cerdo fresca y chorizos artesanales,Vereda El Paraíso,,3189012388,Viernes y Sábado 5am-12pm,Kilo: $14.000,12
Productos Agrícolas,Finca La Montaña 2 - Res,Ganado bovino y leche de doble propósito,Vereda La Montaña,,3189012389,Lunes a Viernes 5am-8am,Litro leche: $2.000,12
Productos Agrícolas,Finca El Campo - Abonos,Abono orgánico compost y lombricompost,Vereda El Campo,,3189012390,Lunes a Viernes 7am-5pm,Bulto 50kg: $25.000,12
Productos Agrícolas,Finca La Verde - Semillas,Semillas criollas de maíz frijol y papa,Vereda La Verde,,3189012391,Sábado 7am-1pm,Sobre 50g: $3.000,12
Productos Agrícolas,Finca Don Héctor - Aceite,Aceite de aguacate y coco artesanal,Vereda Don Héctor,,3189012392,Martes y Viernes 8am-4pm,250ml: $15.000,12
Productos Agrícolas,Finca El Vergel 2 - Mermeladas,Mermeladas artesanales de frutas del campo,Vereda El Vergel,,3189012393,Sábado 7am-2pm,Frasco 250g: $8.000,12
Productos Agrícolas,Finca La Dulzura - Bocadillo,Bocadillo de guayaba artesanal empacado,Vereda La Dulzura,,3189012394,Lunes a Viernes 7am-5pm,Caja 500g: $6.000,12
Productos Agrícolas,Finca El Sabor - Natillas,Natillas y arequipe artesanal de leche,Vereda El Sabor,,3189012395,Martes y Sábado 7am-2pm,Frasco 300g: $9.000,12
Productos Agrícolas,Finca La Colmena - Propóleo,Propóleo y cera de abejas para salud,Vereda La Colmena,,3189012396,Lunes a Viernes 8am-4pm,15ml: $20.000,12
Productos Agrícolas,Finca Don Julio - Polen,Polen de abejas natural y liofilizado,Vereda Don Julio,,3189012397,Lunes a Viernes 8am-4pm,100g: $15.000,12
Productos Agrícolas,Finca El Encanto 2 - Vinagre,Vinagre de miel y de frutas artesanal,Vereda El Encanto,,3189012398,Miércoles y Sábado 8am-2pm,500ml: $10.000,12
Productos Agrícolas,Finca La Tierra - Aromáticas,Aromáticas en bolsitas para infusión,Vereda La Tierra,,3189012399,Lunes a Viernes 7am-4pm,Caja 20 bolsitas: $5.000,12
Productos Agrícolas,Finca El Cielo - Café Liofilizado,Café soluble artesanal del campo liofilizado,Vereda El Cielo,,3189012400,Lunes a Viernes 8am-4pm,Frasco 100g: $18.000,12
